asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B093THSXMX,SanDisk 16GB Ultra Fit USB 3.1 Flash Drive (20 Pack) High Speed Memory Pen Drive (SDCZ430-016G-G46) Bundle with (10) Everything But Stromboli Lanyards,https://m.media-amazon.com/images/I/81btsxsShsS._AC_UL320_.jpg,https://www.amazon.com/dp/B093THSXMX,5.0,0,106.36,0.0,55,False,0
B0BW3XQ4DH,"USB for Windows 11 Version 22H2 Repair Recovery Install Restore Boot Fix Flash Drive, 16 GB Bootable USB Flash Disk for PC Windows 11 64 Bit Systems Home&Education&Pro - Yellow",https://m.media-amazon.com/images/I/61a-4Vj0brL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BW3XQ4DH,5.0,0,3.99,17.99,55,False,0
B084P4SFJZ,SanDisk 32GB Cruzer Glide 3.0 USB Flash Drive (50 Pack) Pen Drives Works with Laptop Computers with USB 2.0/3.0 Port (SDCZ600-032G-G35) Bundle with (25) Everything But Stromboli Lanyards,https://m.media-amazon.com/images/I/810YBMxWEaL._AC_UL320_.jpg,https://www.amazon.com/dp/B084P4SFJZ,5.0,0,244.98,0.0,55,False,0
B01K1JSNSU,Synology RX1217 Expansion for RackStation (Diskless) 88 mm x 482 mm x 696 mm,https://m.media-amazon.com/images/I/71h-hC-SDML._AC_UL320_.jpg,https://www.amazon.com/dp/B01K1JSNSU,5.0,0,1279.99,0.0,55,False,0
B0BVMJCFS5,"AUVON TENS Unit Pads 2""X2"" 20 Pcs, 3rd Gen Latex-Free Replacement Pads Electrode Patches with Upgraded Self-Stick Performance and Non-Irritating Design for Electrotherapy (Red)",https://m.media-amazon.com/images/I/81+UmAnTrqL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BVMJCFS5,4.7,0,9.99,0.0,133,True,300
B09C8XTBYS,Western Digital WD Black SN850 1TB NVMe PCIe 4.0 M.2 Internal Gaming SSD with Heatsink,https://m.media-amazon.com/images/I/51iqzXNsblL._AC_UL320_.jpg,https://www.amazon.com/dp/B09C8XTBYS,5.0,0,85.29,91.99,55,False,0
B07HX9GSJM,Schlage Encode Smart Wi-Fi Deadbolt with Camelot Trim in Satin Nickel,https://m.media-amazon.com/images/I/61xe3e9ZuvL._AC_UY218_.jpg,https://www.amazon.com/dp/B07HX9GSJM,4.5,0,255.42,299.99,187,False,0
B0C8HSBYZD,"Small Photo Album for Kids, 100 Pockets 4x6 Bookshelf Baby Picture Album, Slip-in Linen Cover Memory Book for Family(Dino)",https://m.media-amazon.com/images/I/813XcH4eodL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C8HSBYZD,5.0,0,12.99,13.99,5,False,100
B00IA2RXUU,"LiftMaster 893Max, 1 Pack, Black",https://m.media-amazon.com/images/I/51nbylHpoxL._AC_UY218_.jpg,https://www.amazon.com/dp/B00IA2RXUU,4.7,0,23.0,29.47,187,False,0
B07MV2WHF4,"Genie QuietLift Connect – WiFi Smart Garage Door Opener with Added Wireless Keypad, ¾ HPC Smart Belt Drive – Compatible with Alexa and Google Assistant, Model 3053-TKV",https://m.media-amazon.com/images/I/71thfSCkVeL._AC_UY218_.jpg,https://www.amazon.com/dp/B07MV2WHF4,4.6,0,199.0,249.99,187,True,0
B07SKCGMY7,"Genie 7155-TKV Smart Garage Door Opener StealthDrive Connect - Ultra Quiet opener, WiFi, Battery Backup - Works with Alexa & Google Home",https://m.media-amazon.com/images/I/71Lm-7n2L5L._AC_UY218_.jpg,https://www.amazon.com/dp/B07SKCGMY7,4.6,0,289.99,0.0,187,False,0
B09B2T2XVD,"Chamberlain B6753T MYQ Smart Garage Door Opener, Ultra Quiet Belt Drive, 1-1/4-HP Motor - Quantity 1",https://m.media-amazon.com/images/I/51jL0Rp2cuL._AC_UY218_.jpg,https://www.amazon.com/dp/B09B2T2XVD,4.5,0,298.0,479.0,187,False,0
B08Z4KT5Z7,"CRAFTSMAN 1/2 HP Smart Garage Door Opener - myQ Smartphone Controlled - Chain Drive, Wireless Keypad Included, Model CMXEOCG472, Red",https://m.media-amazon.com/images/I/61mwmevdUmL._AC_UY218_.jpg,https://www.amazon.com/dp/B08Z4KT5Z7,4.7,0,179.0,229.0,187,False,0
